handle,text,url
In_Hail_Smchin,thoroughly enjoying Born Sinners.. idk wut kanye was thinkin when he dropped Yeezus can anyone defend that nigga right now?,web
aPaulitical,"""All hail the Periodic Table of Muppets"" http://t.co/mDegvdOICV","<a href=""http://itunes.apple.com/us/app/feedly/id396069556?mt=8&uo=4"" rel=""nofollow"">feedly on iOS</a>"
Hail_WVU,RT @MeekMill: tell lil snupe hit me up right now!!!,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
yoshi_10pa,@hail_311 勝負下着？,web
ALL_HAIL_A_RIN,"ファンの方が強すぎる
なんで3cmなんてわかるんだよ http://t.co/khO4wCLGFG","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
All_hail_Kail,Uhh im so tired.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
hail_sweetass,killing me softly&gt;&gt;&gt;&gt;,web
j_muldowney,RT @hunteroliver2: All hail southern!!,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
Suzuya_Tohzuki,@buffalexo @beeyeol @sitipanie @layferuiner @Tiraliramira Hail the King http://t.co/W9UMtGLALi,"<a href=""http://janetter.net/"" rel=""nofollow"">Janetter</a>"
Bearsolute,"*cakaar* RT @mydvology: Itu nama mangkal guweh! *jambak RT @Bearsolute: Hail Bearsolutology! :|""","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
TwintrollDevon,RT @Deliajm: @TwintrollDevon HAIL! FOLKS HAIL!,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
drteater,Drive an SUV? Here's why you should have bought a minivan instead http://t.co/Z5RjG3fvhR,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>"
skreenedfeed,T Shirts: HAIL SAGAN - none http://t.co/kKPCikNSHt,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>"
WaneeBitch,@xnecromonstrox tengkyu ya bro Hail \m/,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>"
